PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,isNull
27,0,3,"Emir, Mr. Farred Chehab",True,,0,0,2631,7.225,,1,0,True
28,0,1,"Fortune, Mr. Charles Alexander",True,19.0,3,2,19950,263.0,C23 C25 C27,0,0,False
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",False,,0,0,330959,7.8792,,2,1,True
30,0,3,"Todoroff, Mr. Lalio",True,,0,0,349216,7.8958,,0,0,True
31,0,1,"Uruchurtu, Don. Manuel E",True,40.0,0,0,PC 17601,27.7208,,1,4,False
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",False,,1,0,PC 17569,146.5208,B78,1,2,True
33,1,3,"Glynn, Miss. Mary Agatha",False,,0,0,335677,7.75,,2,1,True
34,0,2,"Wheadon, Mr. Edward H",True,66.0,0,0,C.A. 24579,10.5,,0,0,False
35,0,1,"Meyer, Mr. Edgar Joseph",True,28.0,1,0,PC 17604,82.1708,,1,0,False
36,0,1,"Holverson, Mr. Alexander Oskar",True,42.0,1,0,113789,52.0,,0,0,False
37,1,3,"Mamee, Mr. Hanna",True,,0,0,2677,7.2292,,1,0,True
38,0,3,"Cann, Mr. Ernest Charles",True,21.0,0,0,A./5. 2152,8.05,,0,0,False
39,0,3,"Vander Planke, Miss. Augusta Maria",False,18.0,2,0,345764,18.0,,0,1,False
40,1,3,"Nicola-Yarred, Miss. Jamila",False,14.0,1,0,2651,11.2417,,1,1,False
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",False,40.0,1,0,7546,9.475,,0,2,False
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",False,27.0,1,0,11668,21.0,,0,2,False
43,0,3,"Kraeff, Mr. Theodor",True,,0,0,349253,7.8958,,1,0,True
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",False,3.0,1,2,SC/Paris 2123,41.5792,,1,1,False
45,1,3,"Devaney, Miss. Margaret Delia",False,19.0,0,0,330958,7.8792,,2,1,False
46,0,3,"Rogers, Mr. William John",True,,0,0,S.C./A.4. 23567,8.05,,0,0,True
47,0,3,"Lennon, Mr. Denis",True,,1,0,370371,15.5,,2,0,True
48,1,3,"O'Driscoll, Miss. Bridget",False,,0,0,14311,7.75,,2,1,True
49,0,3,"Samaan, Mr. Youssef",True,,2,0,2662,21.6792,,1,0,True
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",False,18.0,1,0,349237,17.8,,0,2,False
51,0,3,"Panula, Master. Juha Niilo",True,7.0,4,1,3101295,39.6875,,0,3,False
52,0,3,"Nosworthy, Mr. Richard Cater",True,21.0,0,0,A/4. 39886,7.8,,0,0,False
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",False,49.0,1,0,PC 17572,76.7292,D33,1,2,False
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",False,29.0,1,0,2926,26.0,,0,2,False
55,0,1,"Ostby, Mr. Engelhart Cornelius",True,65.0,0,1,113509,61.9792,B30,1,0,False
56,1,1,"Woolner, Mr. Hugh",True,,0,0,19947,35.5,C52,0,0,True
57,1,2,"Rugg, Miss. Emily",False,21.0,0,0,C.A. 31026,10.5,,0,1,False
58,0,3,"Novel, Mr. Mansouer",True,28.5,0,0,2697,7.2292,,1,0,False
59,1,2,"West, Miss. Constance Mirium",False,5.0,1,2,C.A. 34651,27.75,,0,1,False
60,0,3,"Goodwin, Master. William Frederick",True,11.0,5,2,CA 2144,46.9,,0,3,False
61,0,3,"Sirayanian, Mr. Orsen",True,22.0,0,0,2669,7.2292,,1,0,False
62,1,1,"Icard, Miss. Amelie",False,38.0,0,0,113572,80.0,B28,3,1,False
63,0,1,"Harris, Mr. Henry Birkhardt",True,45.0,1,0,36973,83.475,C83,0,0,False
64,0,3,"Skoog, Master. Harald",True,4.0,3,2,347088,27.9,,0,3,False
65,0,1,"Stewart, Mr. Albert A",True,,0,0,PC 17605,27.7208,,1,0,True
66,1,3,"Moubarek, Master. Gerios",True,,1,1,2661,15.2458,,1,3,True
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",False,29.0,0,0,C.A. 29395,10.5,F33,0,2,False
68,0,3,"Crease, Mr. Ernest James",True,19.0,0,0,S.P. 3464,8.1583,,0,0,False
69,1,3,"Andersson, Miss. Erna Alexandra",False,17.0,4,2,3101281,7.925,,0,1,False
70,0,3,"Kink, Mr. Vincenz",True,26.0,2,0,315151,8.6625,,0,0,False
71,0,2,"Jenkin, Mr. Stephen Curnow",True,32.0,0,0,C.A. 33111,10.5,,0,0,False
72,0,3,"Goodwin, Miss. Lillian Amy",False,16.0,5,2,CA 2144,46.9,,0,1,False
73,0,2,"Hood, Mr. Ambrose Jr",True,21.0,0,0,S.O.C. 14879,73.5,,0,0,False
74,0,3,"Chronopoulos, Mr. Apostolos",True,26.0,1,0,2680,14.4542,,1,0,False
75,1,3,"Bing, Mr. Lee",True,32.0,0,0,1601,56.4958,,0,0,False
76,0,3,"Moen, Mr. Sigurd Hansen",True,25.0,0,0,348123,7.65,F G73,0,0,False
77,0,3,"Staneff, Mr. Ivan",True,,0,0,349208,7.8958,,0,0,True
78,0,3,"Moutal, Mr. Rahamin Haim",True,,0,0,374746,8.05,,0,0,True
79,1,2,"Caldwell, Master. Alden Gates",True,0.83,0,2,248738,29.0,,0,3,False
80,1,3,"Dowdell, Miss. Elizabeth",False,30.0,0,0,364516,12.475,,0,1,False
81,0,3,"Waelens, Mr. Achille",True,22.0,0,0,345767,9.0,,0,0,False
82,1,3,"Sheerlinck, Mr. Jan Baptist",True,29.0,0,0,345779,9.5,,0,0,False
83,1,3,"McDermott, Miss. Brigdet Delia",False,,0,0,330932,7.7875,,2,1,True
84,0,1,"Carrau, Mr. Francisco M",True,28.0,0,0,113059,47.1,,0,0,False
85,1,2,"Ilett, Miss. Bertha",False,17.0,0,0,SO/C 14885,10.5,,0,1,False
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",False,33.0,3,0,3101278,15.85,,0,2,False
87,0,3,"Ford, Mr. William Neal",True,16.0,1,3,W./C. 6608,34.375,,0,0,False
88,0,3,"Slocovski, Mr. Selman Francis",True,,0,0,SOTON/OQ 392086,8.05,,0,0,True
89,1,1,"Fortune, Miss. Mabel Helen",False,23.0,3,2,19950,263.0,C23 C25 C27,0,1,False
90,0,3,"Celotti, Mr. Francesco",True,24.0,0,0,343275,8.05,,0,0,False
91,0,3,"Christmann, Mr. Emil",True,29.0,0,0,343276,8.05,,0,0,False
92,0,3,"Andreasson, Mr. Paul Edvin",True,20.0,0,0,347466,7.8542,,0,0,False
93,0,1,"Chaffee, Mr. Herbert Fuller",True,46.0,1,0,W.E.P. 5734,61.175,E31,0,0,False
94,0,3,"Dean, Mr. Bertram Frank",True,26.0,1,2,C.A. 2315,20.575,,0,0,False
95,0,3,"Coxon, Mr. Daniel",True,59.0,0,0,364500,7.25,,0,0,False
96,0,3,"Shorney, Mr. Charles Joseph",True,,0,0,374910,8.05,,0,0,True
97,0,1,"Goldschmidt, Mr. George B",True,71.0,0,0,PC 17754,34.6542,A5,1,0,False
98,1,1,"Greenfield, Mr. William Bertram",True,23.0,0,1,PC 17759,63.3583,D10 D12,1,0,False
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",False,34.0,0,1,231919,23.0,,0,2,False
100,0,2,"Kantor, Mr. Sinai",True,34.0,1,0,244367,26.0,,0,0,False
101,0,3,"Petranec, Miss. Matilda",False,28.0,0,0,349245,7.8958,,0,1,False
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",True,,0,0,349215,7.8958,,0,0,True
103,0,1,"White, Mr. Richard Frasar",True,21.0,0,1,35281,77.2875,D26,0,0,False
104,0,3,"Johansson, Mr. Gustaf Joel",True,33.0,0,0,7540,8.6542,,0,0,False
105,0,3,"Gustafsson, Mr. Anders Vilhelm",True,37.0,2,0,3101276,7.925,,0,0,False
106,0,3,"Mionoff, Mr. Stoytcho",True,28.0,0,0,349207,7.8958,,0,0,False
107,1,3,"Salkjelsvik, Miss. Anna Kristine",False,21.0,0,0,343120,7.65,,0,1,False
108,1,3,"Moss, Mr. Albert Johan",True,,0,0,312991,7.775,,0,0,True
109,0,3,"Rekic, Mr. Tido",True,38.0,0,0,349249,7.8958,,0,0,False
110,1,3,"Moran, Miss. Bertha",False,,1,0,371110,24.15,,2,1,True
111,0,1,"Porter, Mr. Walter Chamberlain",True,47.0,0,0,110465,52.0,C110,0,0,False
112,0,3,"Zabour, Miss. Hileni",False,14.5,1,0,2665,14.4542,,1,1,False
113,0,3,"Barton, Mr. David John",True,22.0,0,0,324669,8.05,,0,0,False
114,0,3,"Jussila, Miss. Katriina",False,20.0,1,0,4136,9.825,,0,1,False
115,0,3,"Attalah, Miss. Malake",False,17.0,0,0,2627,14.4583,,1,1,False
116,0,3,"Pekoniemi, Mr. Edvard",True,21.0,0,0,STON/O 2. 3101294,7.925,,0,0,False
117,0,3,"Connors, Mr. Patrick",True,70.5,0,0,370369,7.75,,2,0,False
118,0,2,"Turpin, Mr. William John Robert",True,29.0,1,0,11668,21.0,,0,0,False
119,0,1,"Baxter, Mr. Quigg Edmond",True,24.0,0,1,PC 17558,247.5208,B58 B60,1,0,False
120,0,3,"Andersson, Miss. Ellis Anna Maria",False,2.0,4,2,347082,31.275,,0,1,False
121,0,2,"Hickman, Mr. Stanley George",True,21.0,2,0,S.O.C. 14879,73.5,,0,0,False
122,0,3,"Moore, Mr. Leonard Charles",True,,0,0,A4. 54510,8.05,,0,0,True
123,0,2,"Nasser, Mr. Nicholas",True,32.5,1,0,237736,30.0708,,1,0,False
124,1,2,"Webber, Miss. Susan",False,32.5,0,0,27267,13.0,E101,0,1,False
125,0,1,"White, Mr. Percival Wayland",True,54.0,0,1,35281,77.2875,D26,0,0,False
126,1,3,"Nicola-Yarred, Master. Elias",True,12.0,1,0,2651,11.2417,,1,3,False
127,0,3,"McMahon, Mr. Martin",True,,0,0,370372,7.75,,2,0,True
128,1,3,"Madsen, Mr. Fridtjof Arne",True,24.0,0,0,C 17369,7.1417,,0,0,False
129,1,3,"Peter, Miss. Anna",False,,1,1,2668,22.3583,F E69,1,1,True
130,0,3,"Ekstrom, Mr. Johan",True,45.0,0,0,347061,6.975,,0,0,False
131,0,3,"Drazenoic, Mr. Jozef",True,33.0,0,0,349241,7.8958,,1,0,False
132,0,3,"Coelho, Mr. Domingos Fernandeo",True,20.0,0,0,SOTON/O.Q. 3101307,7.05,,0,0,False
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",False,47.0,1,0,A/5. 3337,14.5,,0,2,False
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",False,29.0,1,0,228414,26.0,,0,2,False
135,0,2,"Sobey, Mr. Samuel James Hayden",True,25.0,0,0,C.A. 29178,13.0,,0,0,False
136,0,2,"Richard, Mr. Emile",True,23.0,0,0,SC/PARIS 2133,15.0458,,1,0,False
137,1,1,"Newsom, Miss. Helen Monypeny",False,19.0,0,2,11752,26.2833,D47,0,1,False
138,0,1,"Futrelle, Mr. Jacques Heath",True,37.0,1,0,113803,53.1,C123,0,0,False
139,0,3,"Osen, Mr. Olaf Elon",True,16.0,0,0,7534,9.2167,,0,0,False
140,0,1,"Giglio, Mr. Victor",True,24.0,0,0,PC 17593,79.2,B86,1,0,False
141,0,3,"Boulos, Mrs. Joseph (Sultana)",False,,0,2,2678,15.2458,,1,2,True
142,1,3,"Nysten, Miss. Anna Sofia",False,22.0,0,0,347081,7.75,,0,1,False
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",False,24.0,1,0,STON/O2. 3101279,15.85,,0,2,False
144,0,3,"Burke, Mr. Jeremiah",True,19.0,0,0,365222,6.75,,2,0,False
145,0,2,"Andrew, Mr. Edgardo Samuel",True,18.0,0,0,231945,11.5,,0,0,False
146,0,2,"Nicholls, Mr. Joseph Charles",True,19.0,1,1,C.A. 33112,36.75,,0,0,False
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",True,27.0,0,0,350043,7.7958,,0,0,False
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",False,9.0,2,2,W./C. 6608,34.375,,0,1,False
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",True,36.5,0,2,230080,26.0,F2,0,0,False
150,0,2,"Byles, Rev. Thomas Roussel Davids",True,42.0,0,0,244310,13.0,,0,4,False
151,0,2,"Bateman, Rev. Robert James",True,51.0,0,0,S.O.P. 1166,12.525,,0,4,False
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",False,22.0,1,0,113776,66.6,C2,0,2,False
153,0,3,"Meo, Mr. Alfonzo",True,55.5,0,0,A.5. 11206,8.05,,0,0,False
154,0,3,"van Billiard, Mr. Austin Blyler",True,40.5,0,2,A/5. 851,14.5,,0,0,False
155,0,3,"Olsen, Mr. Ole Martin",True,,0,0,Fa 265302,7.3125,,0,0,True
156,0,1,"Williams, Mr. Charles Duane",True,51.0,0,1,PC 17597,61.3792,,1,0,False
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",False,16.0,0,0,35851,7.7333,,2,1,False
158,0,3,"Corn, Mr. Harry",True,30.0,0,0,SOTON/OQ 392090,8.05,,0,0,False
159,0,3,"Smiljanic, Mr. Mile",True,,0,0,315037,8.6625,,0,0,True
160,0,3,"Sage, Master. Thomas Henry",True,,8,2,CA. 2343,69.55,,0,3,True
161,0,3,"Cribb, Mr. John Hatfield",True,44.0,0,1,371362,16.1,,0,0,False
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",False,40.0,0,0,C.A. 33595,15.75,,0,2,False
163,0,3,"Bengtsson, Mr. John Viktor",True,26.0,0,0,347068,7.775,,0,0,False
164,0,3,"Calic, Mr. Jovo",True,17.0,0,0,315093,8.6625,,0,0,False
165,0,3,"Panula, Master. Eino Viljami",True,1.0,4,1,3101295,39.6875,,0,3,False
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",True,9.0,0,2,363291,20.525,,0,3,False
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",False,,0,1,113505,55.0,E33,0,2,True
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",False,45.0,1,4,347088,27.9,,0,2,False
169,0,1,"Baumann, Mr. John D",True,,0,0,PC 17318,25.925,,0,0,True
170,0,3,"Ling, Mr. Lee",True,28.0,0,0,1601,56.4958,,0,0,False
171,0,1,"Van der hoef, Mr. Wyckoff",True,61.0,0,0,111240,33.5,B19,0,0,False
172,0,3,"Rice, Master. Arthur",True,4.0,4,1,382652,29.125,,2,3,False
173,1,3,"Johnson, Miss. Eleanor Ileen",False,1.0,1,1,347742,11.1333,,0,1,False
174,0,3,"Sivola, Mr. Antti Wilhelm",True,21.0,0,0,STON/O 2. 3101280,7.925,,0,0,False
175,0,1,"Smith, Mr. James Clinch",True,56.0,0,0,17764,30.6958,A7,1,0,False
176,0,3,"Klasen, Mr. Klas Albin",True,18.0,1,1,350404,7.8542,,0,0,False
177,0,3,"Lefebre, Master. Henry Forbes",True,,3,1,4133,25.4667,,0,3,True
178,0,1,"Isham, Miss. Ann Elizabeth",False,50.0,0,0,PC 17595,28.7125,C49,1,1,False
179,0,2,"Hale, Mr. Reginald",True,30.0,0,0,250653,13.0,,0,0,False
180,0,3,"Leonard, Mr. Lionel",True,36.0,0,0,LINE,0.0,,0,0,False
181,0,3,"Sage, Miss. Constance Gladys",False,,8,2,CA. 2343,69.55,,0,1,True
182,0,2,"Pernot, Mr. Rene",True,,0,0,SC/PARIS 2131,15.05,,1,0,True
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",True,9.0,4,2,347077,31.3875,,0,3,False
184,1,2,"Becker, Master. Richard F",True,1.0,2,1,230136,39.0,F4,0,3,False
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",False,4.0,0,2,315153,22.025,,0,1,False
186,0,1,"Rood, Mr. Hugh Roscoe",True,,0,0,113767,50.0,A32,0,0,True
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",False,,1,0,370365,15.5,,2,2,True
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",True,45.0,0,0,111428,26.55,,0,0,False
189,0,3,"Bourke, Mr. John",True,40.0,1,1,364849,15.5,,2,0,False
190,0,3,"Turcin, Mr. Stjepan",True,36.0,0,0,349247,7.8958,,0,0,False
191,1,2,"Pinsky, Mrs. (Rosa)",False,32.0,0,0,234604,13.0,,0,2,False
192,0,2,"Carbines, Mr. William",True,19.0,0,0,28424,13.0,,0,0,False
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",False,19.0,1,0,350046,7.8542,,0,1,False
194,1,2,"Navratil, Master. Michel M",True,3.0,1,1,230080,26.0,F2,0,3,False
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",False,44.0,0,0,PC 17610,27.7208,B4,1,2,False
196,1,1,"Lurette, Miss. Elise",False,58.0,0,0,PC 17569,146.5208,B80,1,1,False
197,0,3,"Mernagh, Mr. Robert",True,,0,0,368703,7.75,,2,0,True
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",True,42.0,0,1,4579,8.4042,,0,0,False
199,1,3,"Madigan, Miss. Margaret ""Maggie""",False,,0,0,370370,7.75,,2,1,True
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",False,24.0,0,0,248747,13.0,,0,1,False
201,0,3,"Vande Walle, Mr. Nestor Cyriel",True,28.0,0,0,345770,9.5,,0,0,False
202,0,3,"Sage, Mr. Frederick",True,,8,2,CA. 2343,69.55,,0,0,True
203,0,3,"Johanson, Mr. Jakob Alfred",True,34.0,0,0,3101264,6.4958,,0,0,False
204,0,3,"Youseff, Mr. Gerious",True,45.5,0,0,2628,7.225,,1,0,False
205,1,3,"Cohen, Mr. Gurshon ""Gus""",True,18.0,0,0,A/5 3540,8.05,,0,0,False
206,0,3,"Strom, Miss. Telma Matilda",False,2.0,0,1,347054,10.4625,G6,0,1,False
207,0,3,"Backstrom, Mr. Karl Alfred",True,32.0,1,0,3101278,15.85,,0,0,False
208,1,3,"Albimona, Mr. Nassef Cassem",True,26.0,0,0,2699,18.7875,,1,0,False
209,1,3,"Carr, Miss. Helen ""Ellen""",False,16.0,0,0,367231,7.75,,2,1,False
210,1,1,"Blank, Mr. Henry",True,40.0,0,0,112277,31.0,A31,1,0,False
211,0,3,"Ali, Mr. Ahmed",True,24.0,0,0,SOTON/O.Q. 3101311,7.05,,0,0,False
212,1,2,"Cameron, Miss. Clear Annie",False,35.0,0,0,F.C.C. 13528,21.0,,0,1,False
213,0,3,"Perkin, Mr. John Henry",True,22.0,0,0,A/5 21174,7.25,,0,0,False
214,0,2,"Givard, Mr. Hans Kristensen",True,30.0,0,0,250646,13.0,,0,0,False
215,0,3,"Kiernan, Mr. Philip",True,,1,0,367229,7.75,,2,0,True
216,1,1,"Newell, Miss. Madeleine",False,31.0,1,0,35273,113.275,D36,1,1,False
217,1,3,"Honkanen, Miss. Eliina",False,27.0,0,0,STON/O2. 3101283,7.925,,0,1,False
218,0,2,"Jacobsohn, Mr. Sidney Samuel",True,42.0,1,0,243847,27.0,,0,0,False
219,1,1,"Bazzani, Miss. Albina",False,32.0,0,0,11813,76.2917,D15,1,1,False
220,0,2,"Harris, Mr. Walter",True,30.0,0,0,W/C 14208,10.5,,0,0,False
221,1,3,"Sunderland, Mr. Victor Francis",True,16.0,0,0,SOTON/OQ 392089,8.05,,0,0,False
222,0,2,"Bracken, Mr. James H",True,27.0,0,0,220367,13.0,,0,0,False
223,0,3,"Green, Mr. George Henry",True,51.0,0,0,21440,8.05,,0,0,False
224,0,3,"Nenkoff, Mr. Christo",True,,0,0,349234,7.8958,,0,0,True
225,1,1,"Hoyt, Mr. Frederick Maxfield",True,38.0,1,0,19943,90.0,C93,0,0,False
226,0,3,"Berglund, Mr. Karl Ivar Sven",True,22.0,0,0,PP 4348,9.35,,0,0,False
227,1,2,"Mellors, Mr. William John",True,19.0,0,0,SW/PP 751,10.5,,0,0,False
228,0,3,"Lovell, Mr. John Hall (""Henry"")",True,20.5,0,0,A/5 21173,7.25,,0,0,False
229,0,2,"Fahlstrom, Mr. Arne Jonas",True,18.0,0,0,236171,13.0,,0,0,False
230,0,3,"Lefebre, Miss. Mathilde",False,,3,1,4133,25.4667,,0,1,True
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",False,35.0,1,0,36973,83.475,C83,0,2,False
232,0,3,"Larsson, Mr. Bengt Edvin",True,29.0,0,0,347067,7.775,,0,0,False
233,0,2,"Sjostedt, Mr. Ernst Adolf",True,59.0,0,0,237442,13.5,,0,0,False
234,1,3,"Asplund, Miss. Lillian Gertrud",False,5.0,4,2,347077,31.3875,,0,1,False
235,0,2,"Leyson, Mr. Robert William Norman",True,24.0,0,0,C.A. 29566,10.5,,0,0,False
236,0,3,"Harknett, Miss. Alice Phoebe",False,,0,0,W./C. 6609,7.55,,0,1,True
237,0,2,"Hold, Mr. Stephen",True,44.0,1,0,26707,26.0,,0,0,False
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",False,8.0,0,2,C.A. 31921,26.25,,0,1,False
239,0,2,"Pengelly, Mr. Frederick William",True,19.0,0,0,28665,10.5,,0,0,False
240,0,2,"Hunt, Mr. George Henry",True,33.0,0,0,SCO/W 1585,12.275,,0,0,False
241,0,3,"Zabour, Miss. Thamine",False,,1,0,2665,14.4542,,1,1,True
242,1,3,"Murphy, Miss. Katherine ""Kate""",False,,1,0,367230,15.5,,2,1,True
243,0,2,"Coleridge, Mr. Reginald Charles",True,29.0,0,0,W./C. 14263,10.5,,0,0,False
244,0,3,"Maenpaa, Mr. Matti Alexanteri",True,22.0,0,0,STON/O 2. 3101275,7.125,,0,0,False
245,0,3,"Attalah, Mr. Sleiman",True,30.0,0,0,2694,7.225,,1,0,False
246,0,1,"Minahan, Dr. William Edward",True,44.0,2,0,19928,90.0,C78,2,4,False
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",False,25.0,0,0,347071,7.775,,0,1,False
248,1,2,"Hamalainen, Mrs. William (Anna)",False,24.0,0,2,250649,14.5,,0,2,False
249,1,1,"Beckwith, Mr. Richard Leonard",True,37.0,1,1,11751,52.5542,D35,0,0,False
250,0,2,"Carter, Rev. Ernest Courtenay",True,54.0,1,0,244252,26.0,,0,4,False
251,0,3,"Reed, Mr. James George",True,,0,0,362316,7.25,,0,0,True
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",False,29.0,1,1,347054,10.4625,G6,0,2,False
253,0,1,"Stead, Mr. William Thomas",True,62.0,0,0,113514,26.55,C87,0,0,False
254,0,3,"Lobb, Mr. William Arthur",True,30.0,1,0,A/5. 3336,16.1,,0,0,False
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",False,41.0,0,2,370129,20.2125,,0,2,False
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",False,29.0,0,2,2650,15.2458,,1,2,False
257,1,1,"Thorne, Mrs. Gertrude Maybelle",False,,0,0,PC 17585,79.2,,1,2,True
258,1,1,"Cherry, Miss. Gladys",False,30.0,0,0,110152,86.5,B77,0,1,False
259,1,1,"Ward, Miss. Anna",False,35.0,0,0,PC 17755,512.3292,,1,1,False
260,1,2,"Parrish, Mrs. (Lutie Davis)",False,50.0,0,1,230433,26.0,,0,2,False
261,0,3,"Smith, Mr. Thomas",True,,0,0,384461,7.75,,2,0,True
262,1,3,"Asplund, Master. Edvin Rojj Felix",True,3.0,4,2,347077,31.3875,,0,3,False
263,0,1,"Taussig, Mr. Emil",True,52.0,1,1,110413,79.65,E67,0,0,False
264,0,1,"Harrison, Mr. William",True,40.0,0,0,112059,0.0,B94,0,0,False
265,0,3,"Henry, Miss. Delia",False,,0,0,382649,7.75,,2,1,True
266,0,2,"Reeves, Mr. David",True,36.0,0,0,C.A. 17248,10.5,,0,0,False
267,0,3,"Panula, Mr. Ernesti Arvid",True,16.0,4,1,3101295,39.6875,,0,0,False
268,1,3,"Persson, Mr. Ernst Ulrik",True,25.0,1,0,347083,7.775,,0,0,False
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",False,58.0,0,1,PC 17582,153.4625,C125,0,2,False
270,1,1,"Bissette, Miss. Amelia",False,35.0,0,0,PC 17760,135.6333,C99,0,1,False
271,0,1,"Cairns, Mr. Alexander",True,,0,0,113798,31.0,,0,0,True
272,1,3,"Tornquist, Mr. William Henry",True,25.0,0,0,LINE,0.0,,0,0,False
273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",False,41.0,0,1,250644,19.5,,0,2,False
274,0,1,"Natsch, Mr. Charles H",True,37.0,0,1,PC 17596,29.7,C118,1,0,False
